UM_NAMEF;UM_NAMES;UM_CODE;UM_TRANS;UM_TYPE;UM_TM;UM_TE;UM_KLADR;global_id
Полное наименование;Сокращённое наименование;Код;Транслитерация;Код вида;Код ОМК ТМ;Код ОМК ТЕ;Код КЛАДР;global_id
Большая Бронная улица;Б. Бронная ул.;2490;Bol`shaya Bronnaya ulicza;1;;"0106;0108";7,70000000000906E+016;58485428
Малая Бронная улица;М. Бронная ул.;2500;Malaya Bronnaya ulicza;1;;106;7,70000000000907E+016;58485429
Бронницкая улица;Бронницкая ул.;2510;Bronniczkaya ulicza;1;;510;7,70000000000037E+016;58485430
Бронницкий переулок;Бронницкий пер.;2520;Bronniczkij pereulok;2;;510;7,70000000000038E+016;58485431
Брошевский переулок;Брошевский пер.;2530;Broshevskij pereulok;2;;107;7,70000000000908E+016;58485432
улица Брусилова;ул. Брусилова;2535;ulicza Brusilova;1;;1115;7,70000000007391E+016;58485433
улица Брюллова;ул. Брюллова;2540;ulicza Bryullova;1;;214;7,70000000003257E+016;58485434
Брянская улица;Брянская ул.;2550;Bryanskaya ulicza;1;;805;7,70000000000909E+016;58485435
улица Брянский Пост;ул. Брянский Пост;2555;ulicza Bryanskij Post;1;;106;7,70000000004151E+016;58485436
2-й Брянский переулок;2-й Брянский пер.;2570;Vtoroj Bryanskij pereulok;2;;805;7,70000000003533E+016;58485437
Будайская улица;Будайская ул.;2575;Budajskaya ulicza;1;;312;7,7000000000091E+016;58485438
Будайский проезд;Будайский пр.;2576;Budajskij proezd;3;;312;7,70000000000911E+016;58485439
улица Екатерины Будановой;ул. Екатерины Будановой;2580;ulicza Ekateriny' Budanovoj;1;;807;7,70000000003534E+016;58485440
проспект Будённого;просп. Будённого;2585;prospekt Budyonnogo;10;;417;7,70000000000385E+016;58485441
Буженинова улица;Буженинова ул.;2590;Buzheninova ulicza;1;;415;7,70000000000912E+016;58485442
Булатниковская улица;Булатниковская ул.;2595;Bulatnikovskaya ulicza;1;;607;7,70000000000913E+016;58485443
Булатниковский проезд;Булатниковский пр.;2596;Bulatnikovskij proezd;3;;607;7,70000000000914E+016;58485444
Бумажная просека;Бумажная просека;2598;Bumazhnaya proseka;14;;410;7,70000000003535E+016;58485445
Бумажный проезд;Бумажный пр.;2600;Bumazhny'j proezd;3;;202;7,70000000000915E+016;58485446
улица Бунинская Аллея;ул. Бунинская Аллея;2610;ulicza Buninskaya Alleya;1;;711;7,70000000005004E+016;58485447
Буракова улица;Буракова ул.;2630;Burakova ulicza;1;;417;7,70000000000386E+016;58485448
улица Бурденко;ул. Бурденко;2640;ulicza Burdenko;1;;109;7,70000000007003E+016;58485449
Бурцевская улица;Бурцевская ул.;2646;Burczevskaya ulicza;1;;212;7,70000000000917E+016;58485450
улица Бусиновская Горка;ул. Бусиновская Горка;2660;ulicza Businovskaya Gorka;1;;209;7,70000000000336E+016;58485451
Бусиновский проезд;Бусиновский пр.;2665;Businovskij proezd;3;;209;7,7000000000431E+016;58485452
Бутиковский переулок;Бутиковский пер.;2670;Butikovskij pereulok;2;;109;7,70000000000918E+016;58485453
улица Бутлерова;ул. Бутлерова;2680;ulicza Butlerova;1;;704;7,70000000000919E+016;58485454
Бутовская улица;Бутовская ул.;2690;Butovskaya ulicza;1;;606;7,70000000003536E+016;58485455
Большая Бутовская улица;Б. Бутовская ул.;2695;Bol`shaya Butovskaya ulicza;1;;711;7,7000000000092E+016;58485456
Бутырская улица;Бутырская ул.;2700;Buty'rskaya ulicza;1;;"0213;0215;0305";7,70000000000921E+016;58485457
улица Бутырский Вал;ул. Бутырский Вал;2710;ulicza Buty'rskij Val;1;;108;7,70000000000535E+016;58485458
1-я улица Бухвостова;1-я ул. Бухвостова;2749;Pervaya ulicza Buxvostova;1;;415;7,7000000000326E+016;58485459
2-я улица Бухвостова;2-я ул. Бухвостова;2750;Vtoraya ulicza Buxvostova;1;;415;7,70000000000923E+016;58485460
3-я улица Бухвостова;3-я ул. Бухвостова;2751;Tret`ya ulicza Buxvostova;1;;415;7,70000000003261E+016;58485461
улица Вавилова;ул. Вавилова;2770;ulicza Vavilova;1;;"0610;0701;0702;0706";7,70000000000924E+016;58485462
Вагоноремонтная улица;Вагоноремонтная ул.;2780;Vagonoremontnaya ulicza;1;;208;7,70000000000925E+016;58485463
Вадковский переулок;Вадковский пер.;2790;Vadkovskij pereulok;2;;108;7,70000000000534E+016;58485464
