UM_NAMEF;UM_NAMES;UM_CODE;UM_TRANS;UM_TYPE;UM_TM;UM_TE;UM_KLADR;global_id
Полное наименование;Сокращённое наименование;Код;Транслитерация;Код вида;Код ОМК ТМ;Код ОМК ТЕ;Код КЛАДР;global_id
1-й Ирининский переулок;1-й Ирининский пер.;8880;Pervy'j Irininskij pereulok;2;;102;7,70000000007063E+016;58481065
2-й Ирининский переулок;2-й Ирининский пер.;8890;Vtoroj Irininskij pereulok;2;;102;7,70000000003622E+016;58481066
3-й Ирининский переулок;3-й Ирининский пер.;8891;Tretij Irininskij pereulok;2;;102;7,70000000003623E+016;58481067
Иркутская улица;Иркутская ул.;8910;Irkutskaya ulicza;1;;406;7,70000000001397E+016;58481068
1-й Иртышский проезд;1-й Иртышский пр.;8920;Pervy'j Irty'shskij proezd;3;;406;7,70000000003316E+016;58481069
2-й Иртышский проезд;2-й Иртышский пр.;8930;Vtoroj Irty'shskij proezd;3;;406;7,70000000001398E+016;58481070
улица Исаковского;ул. Исаковского;8935;ulicza Isakovskogo;1;;905;7,70000000001399E+016;58481071
улица Искры;ул. Искры;8940;ulicza Iskry';1;;303;7,700000000014E+016;58481072
проезд Воскресенские Ворота;пр. Воскресенские Ворота;8950;proezd Voskresenskie Vorota;3;;108;7,70000000007023E+016;58481073
Истринская улица;Истринская ул.;8960;Istrinskaya ulicza;1;;807;7,70000000001402E+016;58481074
1-я Кабельная улица;1-я Кабельная ул.;8970;Pervaya Kabel`naya ulicza;1;;507;7,70000000000243E+016;58481075
2-я Кабельная улица;2-я Кабельная ул.;8980;Vtoraya Kabel`naya ulicza;1;;507;7,70000000000244E+016;58481076
3-я Кабельная улица;3-я Кабельная ул.;8990;Tret`ya Kabel`naya ulicza;1;;507;7,70000000000245E+016;58481077
4-я Кабельная улица;4-я Кабельная ул.;9000;Chetvyortaya Kabel`naya ulicza;1;;507;7,70000000000246E+016;58481078
5-я Кабельная улица;5-я Кабельная ул.;9010;Pyataya Kabel`naya ulicza;1;;507;7,70000000000247E+016;58481079
1-й Кабельный проезд;1-й Кабельный пр.;9020;Pervy'j Kabel`ny'j proezd;3;;507;7,70000000000248E+016;58481080
2-й Кабельный проезд;2-й Кабельный пр.;9030;Vtoroj Kabel`ny'j proezd;3;;507;7,70000000000249E+016;58481081
площадь Амилкара Кабрала;пл. Амилкара Кабрала;9035;ploshhad` Amilkara Kabrala;4;;404;7,70000000003518E+016;58481082
Кавказский бульвар;Кавказский бульв.;9040;Kavkazskij bul`var;8;;618;7,70000000000491E+016;58481083
Кадашёвская набережная;Кадашёвская наб.;9050;Kadashyovskaya naberezhnaya;5;;"0103;0110";7,70000000001404E+016;58481084
1-й Кадашёвский переулок;1-й Кадашёвский пер.;9060;Pervy'j Kadashyovskij pereulok;2;;110;7,70000000001405E+016;58481085
2-й Кадашёвский переулок;2-й Кадашёвский пер.;9070;Vtoroj Kadashyovskij pereulok;2;;110;7,70000000001406E+016;58481086
3-й Кадашёвский переулок;3-й Кадашёвский пер.;9071;Tretij Kadashyovskij pereulok;2;;110;7,70000000001407E+016;58481087
Кадашёвский тупик;Кадашёвский туп.;9080;Kadashyovskij tupik;7;;110;7,70000000001408E+016;58481088
проезд Кадомцева;пр. Кадомцева;9090;proezd Kadomczeva;3;;312;7,70000000001409E+016;58481089
улица Кадырова;ул. Кадырова;9095;ulicza Kady'rova;1;;711;7,7000000000731E+016;58481090
улица Казакова;ул. Казакова;9100;ulicza Kazakova;1;;102;7,7000000000141E+016;58481091
Казанский переулок;Казанский пер.;9110;Kazanskij pereulok;2;;110;7,70000000001411E+016;58481092
1-й Казанский просек;1-й Казанский просек;9120;Pervy'j Kazanskij prosek;14;;513;7,70000000000006E+016;58481093
2-й Казанский просек;2-й Казанский просек;9121;Vtoroj Kazanskij prosek;14;;513;7,70000000004323E+016;58481094
Казарменный переулок;Казарменный пер.;9140;Kazarmenny'j pereulok;2;;102;7,70000000001412E+016;58481095
1-й Казачий переулок;1-й Казачий пер.;9150;Pervy'j Kazachij pereulok;2;;110;7,70000000001413E+016;58481096
2-й Казачий переулок;2-й Казачий пер.;9160;Vtoroj Kazachij pereulok;2;;110;7,70000000001414E+016;58481097
Малый Каковинский переулок;М. Каковинский пер.;9175;Maly'j Kakovinskij pereulok;2;;101;7,70000000001415E+016;58481099
Каланчёвская улица;Каланчёвская ул.;9180;Kalanchyovskaya ulicza;1;;104;7,70000000000636E+016;58481100
Каланчёвский тупик;Каланчёвский туп.;9190;Kalanchyovskij tupik;7;;104;7,70000000000637E+016;58481101
Калашный переулок;Калашный пер.;9200;Kalashny'j pereulok;2;;"0101;0106";7,70000000001416E+016;58481102
Калибровская улица;Калибровская ул.;9210;Kalibrovskaya ulicza;1;;310;7,70000000001417E+016;58481103
Большая Калитниковская улица;Б. Калитниковская ул.;9250;Bol`shaya Kalitnikovskaya ulicza;1;;107;7,70000000000251E+016;58481104
Малая Калитниковская улица;М. Калитниковская ул.;9260;Malaya Kalitnikovskaya ulicza;1;;"0107;0510";7,70000000001419E+016;58481105
Средняя Калитниковская улица;Ср. Калитниковская ул.;9270;Srednyaya Kalitnikovskaya ulicza;1;;"0107;0510";7,70000000000252E+016;58481106
Большой Калитниковский проезд;Б. Калитниковский пр.;9280;Bol`shoj Kalitnikovskij proezd;3;;107;7,70000000003645E+016;58481107
Малый Калитниковский проезд;М. Калитниковский пр.;9290;Maly'j Kalitnikovskij proezd;3;;107;7,70000000003646E+016;58481108
Калошин переулок;Калошин пер.;9300;Kaloshin pereulok;2;;101;7,70000000001421E+016;58481109
Малая Калужская улица;М. Калужская ул.;9320;Malaya Kaluzhskaya ulicza;1;;610;7,70000000001422E+016;58481110
Малый Калужский переулок;М. Калужский пер.;9330;Maly'j Kaluzhskij pereulok;2;;610;7,70000000003648E+016;58481111
Калмыков переулок;Калмыков пер.;9340;Kalmy'kov pereulok;2;;105;7,70000000003647E+016;58481112
Долгоруковская улица;Долгоруковская ул.;9350;Dolgorukovskaya ulicza;1;;108;7,70000000007162E+016;58481113
улица Каманина;ул. Каманина;9360;ulicza Kamanina;1;;306;7,70000000001425E+016;58481114
улица Большие Каменщики;ул. Б. Каменщики;9390;ulicza Bol`shie Kamenshhiki;1;;107;7,70000000001427E+016;58481115
улица Малые Каменщики;ул. М. Каменщики;9400;ulicza Maly'e Kamenshhiki;1;;107;7,70000000001428E+016;58481116
улица Камова;ул. Камова;9405;ulicza Kamova;1;;409;7,70000000000397E+016;58481118
Камчатская улица;Камчатская ул.;9410;Kamchatskaya ulicza;1;;406;7,7000000000143E+016;58481119
Канатчиковский проезд;Канатчиковский пр.;9415;Kanatchikovskij proezd;3;;610;7,7000000000365E+016;58481120
Кантемировская улица;Кантемировская ул.;9420;Kantemirovskaya ulicza;1;;"0612;0618;0615";7,70000000000492E+016;58481121
Капельский переулок;Капельский пер.;9430;Kapel`skij pereulok;2;;105;7,70000000001431E+016;58481122
улица Академика Капицы;ул. Академика Капицы;9440;ulicza Akademika Kapiczy';1;;704;7,70000000001432E+016;58481123
улица Сергея Капицы;ул. Сергея Капицы;9441;ulicza Sergeya Kapiczy';1;;702;7,70000000007565E+016;58481124
1-й Капотнинский проезд;1-й Капотнинский пр.;9450;Pervy'j Kapotninskij proezd;3;;505;7,70000000003651E+016;58481125
2-й Капотнинский проезд;2-й Капотнинский пр.;9455;Vtoroj Kapotninskij proezd;3;;505;7,70000000007351E+016;58481126
улица Капотня;ул. Капотня;9460;ulicza Kapotnya;1;;505;7,70000000007333E+016;58481127
переулок Капранова;пер. Капранова;9470;pereulok Kapranova;2;;106;7,70000000001433E+016;58481128
проезд Карамзина;пр. Карамзина;9485;proezd Karamzina;3;;712;7,70000000001434E+016;58481129
Карамышевская набережная;Карамышевская наб.;9500;Karamy'shevskaya naberezhnaya;5;;906;7,70000000001435E+016;58481130
Карамышевский проезд;Карамышевский пр.;9510;Karamy'shevskij proezd;3;;906;7,70000000001436E+016;58481131
Карачаровская улица;Карачаровская ул.;9520;Karacharovskaya ulicza;1;;510;7,70000000003653E+016;58481133
1-я Карачаровская улица;1-я Карачаровская ул.;9530;Pervaya Karacharovskaya ulicza;1;;510;7,70000000000022E+016;58481134
2-я Карачаровская улица;2-я Карачаровская ул.;9540;Vtoraya Karacharovskaya ulicza;1;;510;7,70000000000023E+016;58481135
3-я Карачаровская улица;3-я Карачаровская ул.;9550;Tret`ya Karacharovskaya ulicza;1;;510;7,70000000000024E+016;58481136
2-й Карачаровский проезд;2-й Карачаровский пр.;9570;Vtoroj Karacharovskij proezd;3;;510;7,70000000000021E+016;58481137
1-й Карачаровский проезд;1-й Карачаровский пр.;9580;Pervy'j Karacharovskij proezd;3;;510;7,70000000001437E+016;58481138
Карачаровское шоссе;Карачаровское ш.;9590;Karacharovskoe shosse;6;;510;7,70000000000025E+016;58481139
бульвар Генерала Карбышева;бульв. Генерала Карбышева;9610;bul`var Generala Karby'sheva;8;;906;7,70000000001438E+016;58481140
Каргопольская улица;Каргопольская ул.;9615;Kargopol`skaya ulicza;1;;311;7,70000000001439E+016;58481141
Карелин проезд;Карелин пр.;9620;Karelin proezd;3;;108;7,70000000004037E+016;58481142
Карельский бульвар;Карельский бульв.;9630;Karel`skij bul`var;8;;208;7,7000000000144E+016;58481143
Малый Каретный переулок;М. Каретный пер.;9640;Maly'j Karetny'j pereulok;2;;108;7,7000000000055E+016;58481144
Средний Каретный переулок;Ср. Каретный пер.;9650;Srednij Karetny'j pereulok;2;;108;7,70000000000551E+016;58481145
улица Каретный Ряд;ул. Каретный Ряд;9660;ulicza Karetny'j Ryad;1;;108;7,70000000000552E+016;58481146
Старая Басманная улица;Ст. Басманная ул.;9670;Staraya Basmannaya ulicza;1;;102;7,70000000007024E+016;58481147
Карманицкий переулок;Карманицкий пер.;9680;Karmaniczkij pereulok;2;;101;7,70000000001445E+016;58481148
улица Карьер;ул. Карьер;9690;ulicza Kar`er;1;;701;7,70000000001446E+016;58481149
Карьерная улица;Карьерная ул.;9700;Kar`ernaya ulicza;1;;1112;7,70000000001447E+016;58481150
1-я Карпатская улица;1-я Карпатская ул.;9704;Pervaya Karpatskaya ulicza;1;;816;7,70000000003654E+016;58481151
2-я Карпатская улица;2-я Карпатская ул.;9705;Vtoraya Karpatskaya ulicza;1;;816;7,70000000003655E+016;58481152
улица Касаткина;ул. Касаткина;9710;ulicza Kasatkina;1;;301;7,70000000001448E+016;58481153
Касимовская улица;Касимовская ул.;9720;Kasimovskaya ulicza;1;;606;7,70000000000493E+016;58481154
Каскадная улица;Каскадная ул.;9725;Kaskadnaya ulicza;1;;409;7,70000000000398E+016;58481155
Каспийская улица;Каспийская ул.;9750;Kaspijskaya ulicza;1;;"0612;0618";7,70000000000494E+016;58481157
Кастанаевская улица;Кастанаевская ул.;9760;Kastanaevskaya ulicza;1;;"0818;0819";7,7000000000145E+016;58481158
улица Маршала Катукова;ул. Маршала Катукова;9765;ulicza Marshala Katukova;1;;905;7,70000000001451E+016;58481159
улица Каховка;ул. Каховка;9770;ulicza Kaxovka;1;;"0703;0710";7,70000000001452E+016;58481160
Качалинская улица;Качалинская ул.;9780;Kachalinskaya ulicza;1;;107;7,70000000001453E+016;58481161
Малая Никитская улица;М. Никитская ул.;9790;Malaya Nikitskaya ulicza;1;;106;7,70000000007121E+016;58481162
улица Наташи Качуевской;ул. Наташи Качуевской;9807;ulicza Natashi Kachuevskoj;1;;409;7,70000000007393E+016;58481163
улица Кашёнкин Луг;ул. Кашёнкин Луг;9810;ulicza Kashyonkin Lug;1;;308;7,70000000001455E+016;58481164
Каширский проезд;Каширский пр.;9815;Kashirskij proezd;3;;"0612;0613";7,70000000000495E+016;58481165
Каширское шоссе;Каширское ш.;9830;Kashirskoe shosse;6;;"0612;0613;0616;0617";7,70000000000496E+016;58481166
1-я Квесисская улица;1-я Квесисская ул.;9870;Pervaya Kvesisskaya ulicza;1;;213;7,70000000001456E+016;58481168
2-я Квесисская улица;2-я Квесисская ул.;9880;Vtoraya Kvesisskaya ulicza;1;;213;7,70000000001457E+016;58481169
улица Кедрова;ул. Кедрова;9890;ulicza Kedrova;1;;701;7,70000000001458E+016;58481170
площадь Академика Келдыша;пл. Академика Келдыша;9895;ploshhad` Akademika Keldy'sha;4;;"0704;0707";7,7000000000146E+016;58481171
Керамический проезд;Керамический пр.;9900;Keramicheskij proezd;3;;206;7,70000000001461E+016;58481172
Керченская улица;Керченская ул.;9910;Kerchenskaya ulicza;1;;703;7,70000000001462E+016;58481173
Кетчерская улица;Кетчерская ул.;9920;Ketcherskaya ulicza;1;;404;7,70000000000399E+016;58481174
улица Кибальчича;ул. Кибальчича;9950;ulicza Kibal`chicha;1;;301;7,70000000001463E+016;58481175
Киевская улица;Киевская ул.;9970;Kievskaya ulicza;1;;805;7,70000000001464E+016;58481176
площадь Киевского Вокзала;пл. Киевского Вокзала;9980;ploshhad` Kievskogo Vokzala;4;;805;7,70000000001465E+016;58481177
Киевское шоссе;Киевское ш.;9985;Kievskoe shosse;6;;1112;7,70000000004324E+016;58481178
улица Кипренского;ул. Кипренского;9990;ulicza Kiprenskogo;1;;214;7,70000000003318E+016;58481179
площадь Мартина Лютера Кинга;пл. Мартина Лютера Кинга;10000;ploshhad` Martina Lyutera Kinga;4;;704;7,70000000003713E+016;58481180
проезд Кирова;пр. Кирова;10020;proezd Kirova;3;;508;7,70000000000176E+016;58481181
Мясницкая улица;Мясницкая ул.;10030;Myasniczkaya ulicza;1;;"0102;0104";7,70000000007119E+016;58481182
Кировоградская улица;Кировоградская ул.;10040;Kirovogradskaya ulicza;1;;"0619;0620;0621";7,70000000001468E+016;58481183
Кировоградский проезд;Кировоградский пр.;10050;Kirovogradskij proezd;3;;"0621;0620";7,70000000001469E+016;58481184
улица Кирпичные Выемки;ул. Кирпичные Выемки;10060;ulicza Kirpichny'e Vy'emki;1;;621;7,70000000003657E+016;58481185
3-й Кирпичный переулок;3-й Кирпичный пер.;10070;Tretij Kirpichny'j pereulok;2;;417;7,70000000003658E+016;58481186
Мясницкий проезд;Мясницкий пр.;10080;Myasniczkij proezd;3;;"0102;0104";7,70000000007028E+016;58481187
Кирпичная улица;Кирпичная ул.;10090;Kirpichnaya ulicza;1;;417;7,70000000001471E+016;58481188
1-й Кирпичный переулок;1-й Кирпичный пер.;10100;Pervy'j Kirpichny'j pereulok;2;;417;7,70000000001472E+016;58481189
Большой Кисельный переулок;Б. Кисельный пер.;10110;Bol`shoj Kisel`ny'j pereulok;2;;105;7,70000000001473E+016;58481190
Малый Кисельный переулок;М. Кисельный пер.;10120;Maly'j Kisel`ny'j pereulok;2;;105;7,70000000001474E+016;58481191
Кисельный тупик;Кисельный туп.;10130;Kisel`ny'j tupik;7;;105;7,70000000001476E+016;58481192
Нижний Кисловский переулок;Нижн. Кисловский пер.;10150;Nizhnij Kislovskij pereulok;2;;"0101;0106";7,70000000001477E+016;58481193
Средний Кисловский переулок;Ср. Кисловский пер.;10160;Srednij Kislovskij pereulok;2;;106;7,70000000001478E+016;58481194
Китайгородский проезд;Китайгородский пр.;10170;Kitajgorodskij proezd;3;;"0107;0108";7,70000000007223E+016;58481195
Кленовый бульвар;Кленовый бульв.;10190;Klenovy'j bul`var;8;;614;7,7000000000148E+016;58481196
улица Климашкина;ул. Климашкина;10200;ulicza Klimashkina;1;;106;7,70000000001481E+016;58481197
Климентовский переулок;Климентовский пер.;10210;Klimentovskij pereulok;2;;103;7,70000000001482E+016;58481198
Клинская улица;Клинская ул.;10235;Klinskaya ulicza;1;;216;7,70000000001483E+016;58481199
Клинский проезд;Клинский пр.;10237;Klinskij proezd;3;;216;7,70000000007099E+016;58481200
улица Клочкова;ул. Клочкова;10240;ulicza Klochkova;1;;819;7,70000000001484E+016;58481201
Ключевая улица;Ключевая ул.;10250;Klyuchevaya ulicza;1;;608;7,70000000000497E+016;58481202
Клязьминская улица;Клязьминская ул.;10260;Klyaz`minskaya ulicza;1;;208;7,70000000001485E+016;58481203
Княжекозловский переулок;Княжекозловский пер.;10270;Knyazhekozlovskij pereulok;2;;507;7,70000000000286E+016;58481204
Княжеская улица;Княжеская ул.;10280;Knyazheskaya ulicza;1;;816;7,70000000001486E+016;58481205
улица Княжнина;ул. Княжнина;10290;ulicza Knyazhnina;1;;507;7,70000000000291E+016;58481206
улица Софьи Ковалевской;ул. Софьи Ковалевской;10300;ulicza Sof`i Kovalevskoj;1;;208;7,70000000003625E+016;58481207
Ковров переулок;Ковров пер.;10310;Kovrov pereulok;2;;107;7,70000000001487E+016;58481208
улица Наташи Ковшовой;ул. Наташи Ковшовой;10320;ulicza Natashi Kovshovoj;1;;820;7,70000000003322E+016;58481209
Ковылинский переулок;Ковылинский пер.;10330;Kovy'linskij pereulok;2;;415;7,70000000003659E+016;58481210
площадь Викторио Кодовильи;пл. Викторио Кодовильи;10340;ploshhad` Viktorio Kodovil`i;4;;416;7,7000000000354E+016;58481211
Кожевническая улица;Кожевническая ул.;10350;Kozhevnicheskaya ulicza;1;;"0103;0609";7,70000000001488E+016;58481212
улица Кожевнический Вражек;ул. Кожевнический Вражек;10360;ulicza Kozhevnicheskij Vrazhek;1;;609;7,70000000003232E+016;58481213
Кожевнический проезд;Кожевнический пр.;10370;Kozhevnicheskij proezd;3;;103;7,70000000001493E+016;58481214
улица Маршала Кожедуба;ул. Маршала Кожедуба;10375;ulicza Marshala Kozheduba;1;;508;7,70000000007246E+016;58481215
1-й Кожевнический переулок;1-й Кожевнический пер.;10380;Pervy'j Kozhevnicheskij pereulok;2;;609;7,70000000001489E+016;58481216
2-й Кожевнический переулок;2-й Кожевнический пер.;10390;Vtoroj Kozhevnicheskij pereulok;2;;609;7,7000000000149E+016;58481217
4-й Кожевнический переулок;4-й Кожевнический пер.;10401;Chetvyorty'j Kozhevnicheskij pereulok;2;;609;7,70000000001492E+016;58481218
улица Василисы Кожиной;ул. Василисы Кожиной;10410;ulicza Vasilisy' Kozhinoj;1;;818;7,70000000000934E+016;58481219
5-я Кожуховская улица;5-я Кожуховская ул.;10420;Pyataya Kozhuxovskaya ulicza;1;;"0515;0609";7,7000000000018E+016;58481220
6-я Кожуховская улица;6-я Кожуховская ул.;10430;Shestaya Kozhuxovskaya ulicza;1;;515;7,70000000000181E+016;58481221
7-я Кожуховская улица;7-я Кожуховская ул.;10440;Sed`maya Kozhuxovskaya ulicza;1;;515;7,70000000000182E+016;58481222
1-й Кожуховский проезд;1-й Кожуховский пр.;10450;Pervy'j Kozhuxovskij proezd;3;;609;7,70000000001494E+016;58481224
2-й Кожуховский проезд;2-й Кожуховский пр.;10460;Vtoroj Kozhuxovskij proezd;3;;609;7,70000000001495E+016;58481225
3-й Кожуховский проезд;3-й Кожуховский пр.;10470;Tretij Kozhuxovskij proezd;3;;515;7,70000000000183E+016;58481226
Малый Козихинский переулок;М. Козихинский пер.;10490;Maly'j Kozixinskij pereulok;2;;106;7,70000000001496E+016;58481227
Козицкий переулок;Козицкий пер.;10500;Koziczkij pereulok;2;;108;7,70000000001497E+016;58481228
Козлова улица;Козлова ул.;10510;Kozlova ulicza;1;;809;7,70000000001498E+016;58481229
Большой Козловский переулок;Б. Козловский пер.;10520;Bol`shoj Kozlovskij pereulok;2;;102;7,70000000001499E+016;58481230
Малый Козловский переулок;М. Козловский пер.;10530;Maly'j Kozlovskij pereulok;2;;102;7,700000000015E+016;58481231
улица Коккинаки;ул. Коккинаки;10535;ulicza Kokkinaki;1;;201;7,70000000001501E+016;58481232
Коктебельская улица;Коктебельская ул.;10536;Koktebel`skaya ulicza;1;;708;7,70000000001502E+016;58481233
Коленчатый переулок;Коленчатый пер.;10540;Kolenchaty'j pereulok;2;;213;7,70000000003662E+016;58481234
Коллективный проезд;Коллективный пр.;10550;Kollektivny'j proezd;3;;618;7,70000000003663E+016;58481235
улица Елены Колесовой;ул. Елены Колесовой;10570;ulicza Eleny' Kolesovoj;1;;820;7,70000000001503E+016;58481236
улица Колобашкина;ул. Колобашкина;10575;ulicza Kolobashkina;1;;612;7,70000000007796E+016;58481237
1-й Колобовский переулок;1-й Колобовский пер.;10590;Pervy'j Kolobovskij pereulok;2;;108;7,70000000000553E+016;58481238
2-й Колобовский переулок;2-й Колобовский пер.;10600;Vtoroj Kolobovskij pereulok;2;;108;7,70000000000554E+016;58481239
3-й Колобовский переулок;3-й Колобовский пер.;10610;Tretij Kolobovskij pereulok;2;;108;7,70000000000555E+016;58481240
Колодезная улица;Колодезная ул.;10620;Kolodeznaya ulicza;1;;418;7,70000000001504E+016;58481241
Колодезный переулок;Колодезный пер.;10630;Kolodezny'j pereulok;2;;418;7,70000000001505E+016;58481242
Колокольников переулок;Колокольников пер.;10640;Kolokol`nikov pereulok;2;;105;7,70000000001506E+016;58481243
Коломенская улица;Коломенская ул.;10650;Kolomenskaya ulicza;1;;614;7,70000000001508E+016;58481244
Коломенская набережная;Коломенская наб.;10655;Kolomenskaya naberezhnaya;5;;614;7,70000000001507E+016;58481245
Коломенский проезд;Коломенский пр.;10670;Kolomenskij proezd;3;;613;7,70000000000498E+016;58481246
Колпачный переулок;Колпачный пер.;10690;Kolpachny'j pereulok;2;;102;7,70000000001509E+016;58481247
Коломенское шоссе;Коломенское ш.;10692;Kolomenskoe shosse;6;;613;7,70000000003664E+016;58481248
Колпинская улица;Колпинская ул.;10695;Kolpinskaya ulicza;1;;212;7,7000000000151E+016;58481249
Большая Сухаревская площадь;Б. Сухаревская пл.;10700;Bol`shaya Suxarevskaya ploshhad`;4;;"0104;0105";7,70000000007064E+016;58481250
Малая Сухаревская площадь;М. Сухаревская пл.;10710;Malaya Suxarevskaya ploshhad`;4;;105;7,70000000007227E+016;58481251
площадь Колумба;пл. Колумба;10720;ploshhad` Kolumba;4;;1012;7,70000020001511E+016;58481252
Колхозная улица;Колхозная ул.;10730;Kolxoznaya ulicza;1;;1011;7,70000020071512E+016;58481253
Кольская улица;Кольская ул.;10740;Kol`skaya ulicza;1;;"0303;0313";7,70000000001515E+016;58481254
улица Академика Комарова;ул. Академика Комарова;10750;ulicza Akademika Komarova;1;;308;7,70000000001516E+016;58481255
площадь Космонавта Комарова;пл. Космонавта Комарова;10760;ploshhad` Kosmonavta Komarova;4;;201;7,70000000003665E+016;58481256
улица Коминтерна;ул. Коминтерна;10770;ulicza Kominterna;1;;"0303;0307";7,70000000001517E+016;58481257
Комиссариатский переулок;Комиссариатский пер.;10780;Komissariatskij pereulok;2;;103;7,70000000003666E+016;58481258
Коммунарская улица;Коммунарская ул.;10793;Kommunarskaya ulicza;1;;1115;7,70000000001518E+016;58481259
Коммунистическая улица;Коммунистическая ул.;10794;Kommunisticheskaya ulicza;1;;1115;7,70000000003896E+016;58481260
улица Александра Солженицына;ул. Александра Солженицына;10800;ulicza Aleksandra Solzheniczy'na;1;;107;7,70000000001519E+016;58481261
улица Станиславского;ул. Станиславского;10810;ulicza Stanislavskogo;1;;107;7,70000000007345E+016;58481262
Коммунистический переулок;Коммунистический пер.;10820;Kommunisticheskij pereulok;2;;107;7,70000000003667E+016;58481263
Суворовская площадь;Суворовская пл.;10830;Suvorovskaya ploshhad`;4;;"0105;0108";7,70000000007026E+016;58481264
Композиторская улица;Композиторская ул.;10840;Kompozitorskaya ulicza;1;;101;7,70000000007233E+016;58481265
Комсомольская площадь;Комсомольская пл.;10850;Komsomol`skaya ploshhad`;4;;104;7,7000000000064E+016;58481266
Комсомольская улица;Комсомольская ул.;10860;Komsomol`skaya ulicza;1;;212;7,70000000001522E+016;58481267
Большой Златоустинский переулок;Б. Златоустинский пер.;10870;Bol`shoj Zlatoustinskij pereulok;2;;102;7,70000000007029E+016;58481268
Малый Златоустинский переулок;М. Златоустинский пер.;10880;Maly'j Zlatoustinskij pereulok;2;;102;7,70000000007122E+016;58481269
проезд Комсомольской Площади;пр. Комсомольской Площади;10885;proezd Komsomol`skoj Ploshhadi;3;;104;7,70000000003668E+016;58481270
Комсомольский проспект;Комсомольский просп.;10890;Komsomol`skij prospekt;10;;109;7,70000000001526E+016;58481271
Конаковский проезд;Конаковский пр.;10895;Konakovskij proezd;3;;207;7,70000000001527E+016;58481272
Большой Кондратьевский переулок;Б. Кондратьевский пер.;10900;Bol`shoj Kondrat`evskij pereulok;2;;106;7,70000000001528E+016;58481273
Средний Кондратьевский переулок;Ср. Кондратьевский пер.;10920;Srednij Kondrat`evskij pereulok;2;;106;7,70000000001529E+016;58481274
улица Кондратюка;ул. Кондратюка;10930;ulicza Kondratyuka;1;;310;7,7000000000153E+016;58481275
Кондрашёвский тупик;Кондрашёвский туп.;10940;Kondrashyovskij tupik;7;;102;7,70000000003669E+016;58481276
улица Маршала Конева;ул. Маршала Конева;10945;ulicza Marshala Koneva;1;;907;7,70000000001531E+016;58481277
улица Конёнкова;ул. Конёнкова;10946;ulicza Konyonkova;1;;304;7,70000000001532E+016;58481278
Конный переулок;Конный пер.;10950;Konny'j pereulok;2;;"0110;0610";7,70000000001533E+016;58481279
улица Коновалова;ул. Коновалова;10960;ulicza Konovalova;1;;513;7,70000000000007E+016;58481280
улица Константинова;ул. Константинова;10970;ulicza Konstantinova;1;;301;7,70000000001534E+016;58481281
Конюшковская улица;Конюшковская ул.;11000;Konyushkovskaya ulicza;1;;"0101;0106";7,70000000001535E+016;58481282
Большой Конюшковский переулок;Б. Конюшковский пер.;11010;Bol`shoj Konyushkovskij pereulok;2;;106;7,70000000001536E+016;58481283
Малый Конюшковский переулок;М. Конюшковский пер.;11015;Maly'j Konyushkovskij pereulok;2;;106;7,70000000001537E+016;58481284
Кооперативная улица;Кооперативная ул.;11020;Kooperativnaya ulicza;1;;109;7,70000000007206E+016;58481285
улица Николая Коперника;ул. Николая Коперника;11035;ulicza Nikolaya Kopernika;1;;702;7,70000000003327E+016;58481286
Коптевская улица;Коптевская ул.;11040;Koptevskaya ulicza;1;;210;7,70000000000371E+016;58481287
Коптевский бульвар;Коптевский бульв.;11060;Koptevskij bul`var;8;;210;7,70000000000363E+016;58481288
Большой Коптевский проезд;Б. Коптевский пр.;11070;Bol`shoj Koptevskij proezd;3;;201;7,70000000001539E+016;58481289
Малый Коптевский проезд;М. Коптевский пр.;11080;Maly'j Koptevskij proezd;3;;201;7,7000000000154E+016;58481290
2-й Коптельский переулок;2-й Коптельский пер.;11100;Vtoroj Koptel`skij pereulok;2;;104;7,70000000003328E+016;58481291
1-й Коптельский переулок;1-й Коптельский пер.;11105;Pervy'j Koptel`skij pereulok;2;;"0104;0105";7,70000000000641E+016;58481292
Копьёвский переулок;Копьёвский пер.;11120;Kop`yovskij pereulok;2;;108;7,70000000000556E+016;58481293
Коренная улица;Коренная ул.;11140;Korennaya ulicza;1;;"0411;0413";7,70000000000407E+016;58481294
улица Корнейчука;ул. Корнейчука;11145;ulicza Kornejchuka;1;;304;7,70000000001542E+016;58481295
Коробейников переулок;Коробейников пер.;11150;Korobejnikov pereulok;2;;109;7,70000000007093E+016;58481296
Коровинский проезд;Коровинский пр.;11160;Korovinskij proezd;3;;203;7,70000000004288E+016;58481297
Коровинское шоссе;Коровинское ш.;11170;Korovinskoe shosse;6;;"0203;0208;0209";7,70000000000334E+016;58481298
улица Академика Королёва;ул. Академика Королёва;11180;ulicza Akademika Korolyova;1;;"0308;0310;0215;0305";7,70000000001545E+016;58481299
улица Короленко;ул. Короленко;11190;ulicza Korolenko;1;;418;7,70000000001546E+016;58481300
улица Павла Корчагина;ул. Павла Корчагина;11220;ulicza Pavla Korchagina;1;;301;7,70000000003329E+016;58481301
Косинская улица;Косинская ул.;11230;Kosinskaya ulicza;1;;404;7,700000000004E+016;58481302
Большая Косинская улица;Б. Косинская ул.;11235;Bol`shaya Kosinskaya ulicza;1;;409;7,70000000000383E+016;58481303
