	1-й Ирининский переулок	102
	2-й Ирининский переулок	102
	3-й Ирининский переулок	102
	Иркутская улица	406
	1-й Иртышский проезд	406
	2-й Иртышский проезд	406
	улица Исаковского	905
	улица Искры	303
	проезд Воскресенские Ворота	108
	Истринская улица	807
	1-я Кабельная улица	507
	2-я Кабельная улица	507
	3-я Кабельная улица	507
	4-я Кабельная улица	507
	5-я Кабельная улица	507
	1-й Кабельный проезд	507
	2-й Кабельный проезд	507
	площадь Амилкара Кабрала	404
	Кавказский бульвар	618
	Кадашёвская набережная	0103 0110
	1-й Кадашёвский переулок	110
	2-й Кадашёвский переулок	110
	3-й Кадашёвский переулок	110
	Кадашёвский тупик	110
	проезд Кадомцева	312
	улица Кадырова	711
	улица Казакова	102
	Казанский переулок	110
	1-й Казанский просек	513
	2-й Казанский просек	513
	Казарменный переулок	102
	1-й Казачий переулок	110
	2-й Казачий переулок	110
	Малый Каковинский переулок	101
	Каланчёвская улица	104
	Каланчёвский тупик	104
	Калашный переулок	0101 0106
	Калибровская улица	310
	Большая Калитниковская улица	107
	Малая Калитниковская улица	0107 0510
	Средняя Калитниковская улица	0107 0510
	Большой Калитниковский проезд	107
	Малый Калитниковский проезд	107
	Калошин переулок	101
	Малая Калужская улица	610
	Малый Калужский переулок	610
	Калмыков переулок	105
	Долгоруковская улица	108
	улица Каманина	306
	улица Большие Каменщики	107
	улица Малые Каменщики	107
	улица Камова	409
	Камчатская улица	406
	Канатчиковский проезд	610
	Кантемировская улица	0612 0618 0615
	Капельский переулок	105
	улица Академика Капицы	704
	улица Сергея Капицы	702
	1-й Капотнинский проезд	505
	2-й Капотнинский проезд	505
	улица Капотня	505
	переулок Капранова	106
	проезд Карамзина	712
	Карамышевская набережная	906
	Карамышевский проезд	906
	Карачаровская улица	510
	1-я Карачаровская улица	510
	2-я Карачаровская улица	510
	3-я Карачаровская улица	510
	2-й Карачаровский проезд	510
	1-й Карачаровский проезд	510
	Карачаровское шоссе	510
	бульвар Генерала Карбышева	906
	Каргопольская улица	311
	Карелин проезд	108
	Карельский бульвар	208
	Малый Каретный переулок	108
	Средний Каретный переулок	108
	улица Каретный Ряд	108
	Старая Басманная улица	102
	Карманицкий переулок	101
	улица Карьер	701
	Карьерная улица	1112
	1-я Карпатская улица	816
	2-я Карпатская улица	816
	улица Касаткина	301
	Касимовская улица	606
	Каскадная улица	409
	Каспийская улица	0612 0618
	Кастанаевская улица	0818 0819
	улица Маршала Катукова	905
	улица Каховка	0703 0710
	Качалинская улица	107
	Малая Никитская улица	106
	улица Наташи Качуевской	409
	улица Кашёнкин Луг	308
	Каширский проезд	0612 0613
	Каширское шоссе	0612 0613 0616 0617
	1-я Квесисская улица	213
	2-я Квесисская улица	213
	улица Кедрова	701
	площадь Академика Келдыша	0704 0707
	Керамический проезд	206
	Керченская улица	703
	Кетчерская улица	404
	улица Кибальчича	301
	Киевская улица	805
	площадь Киевского Вокзала	805
	Киевское шоссе	1112
	улица Кипренского	214
	площадь Мартина Лютера Кинга	704
	проезд Кирова	508
	Мясницкая улица	0102 0104
	Кировоградская улица	0619 0620 0621
	Кировоградский проезд	0621 0620
	улица Кирпичные Выемки	621
	3-й Кирпичный переулок	417
	Мясницкий проезд	0102 0104
	Кирпичная улица	417
	1-й Кирпичный переулок	417
	Большой Кисельный переулок	105
	Малый Кисельный переулок	105
	Кисельный тупик	105
	Нижний Кисловский переулок	0101 0106
	Средний Кисловский переулок	106
	Китайгородский проезд	0107 0108
	Кленовый бульвар	614
	улица Климашкина	106
	Климентовский переулок	103
	Клинская улица	216
	Клинский проезд	216
	улица Клочкова	819
	Ключевая улица	608
	Клязьминская улица	208
	Княжекозловский переулок	507
	Княжеская улица	816
	улица Княжнина	507
	улица Софьи Ковалевской	208
	Ковров переулок	107
	улица Наташи Ковшовой	820
	Ковылинский переулок	415
	площадь Викторио Кодовильи	416
	Кожевническая улица	0103 0609
	улица Кожевнический Вражек	609
	Кожевнический проезд	103
	улица Маршала Кожедуба	508
	1-й Кожевнический переулок	609
	2-й Кожевнический переулок	609
	4-й Кожевнический переулок	609
	улица Василисы Кожиной	818
	5-я Кожуховская улица	0515 0609
	6-я Кожуховская улица	515
	7-я Кожуховская улица	515
	1-й Кожуховский проезд	609
	2-й Кожуховский проезд	609
	3-й Кожуховский проезд	515
	Малый Козихинский переулок	106
	Козицкий переулок	108
	Козлова улица	809
	Большой Козловский переулок	102
	Малый Козловский переулок	102
	улица Коккинаки	201
	Коктебельская улица	708
	Коленчатый переулок	213
	Коллективный проезд	618
	улица Елены Колесовой	820
	улица Колобашкина	612
	1-й Колобовский переулок	108
	2-й Колобовский переулок	108
	3-й Колобовский переулок	108
	Колодезная улица	418
	Колодезный переулок	418
	Колокольников переулок	105
	Коломенская улица	614
	Коломенская набережная	614
	Коломенский проезд	613
	Колпачный переулок	102
	Коломенское шоссе	613
	Колпинская улица	212
	Большая Сухаревская площадь	0104 0105
	Малая Сухаревская площадь	105
	площадь Колумба	1012
	Колхозная улица	1011
	Кольская улица	0303 0313
	улица Академика Комарова	308
	площадь Космонавта Комарова	201
	улица Коминтерна	0303 0307
	Комиссариатский переулок	103
	Коммунарская улица	1115
	Коммунистическая улица	1115
	улица Александра Солженицына	107
	улица Станиславского	107
	Коммунистический переулок	107
	Суворовская площадь	0105 0108
	Композиторская улица	101
	Комсомольская площадь	104
	Комсомольская улица	212
	Большой Златоустинский переулок	102
	Малый Златоустинский переулок	102
	проезд Комсомольской Площади	104
	Комсомольский проспект	109
	Конаковский проезд	207
	Большой Кондратьевский переулок	106
	Средний Кондратьевский переулок	106
	улица Кондратюка	310
	Кондрашёвский тупик	102
	улица Маршала Конева	907
	улица Конёнкова	304
	Конный переулок	0110 0610
	улица Коновалова	513
	улица Константинова	301
	Конюшковская улица	0101 0106
	Большой Конюшковский переулок	106
	Малый Конюшковский переулок	106
	Кооперативная улица	109
	улица Николая Коперника	702
	Коптевская улица	210
	Коптевский бульвар	210
	Большой Коптевский проезд	201
	Малый Коптевский проезд	201
	2-й Коптельский переулок	104
	1-й Коптельский переулок	0104 0105
	Копьёвский переулок	108
	Коренная улица	0411 0413
	улица Корнейчука	304
	Коробейников переулок	109
	Коровинский проезд	203
	Коровинское шоссе	0203 0208 0209
	улица Академика Королёва	0308 0310 0215 0305
	улица Короленко	418
	улица Павла Корчагина	301
	Косинская улица	404
	Большая Косинская улица	409
	Косинская эстакада	409
	Косинское шоссе	409
	улица Зои и Александра Космодемьянских	0205 0210
	улица Космонавтов	301
	аллея Космонавтов	310
	улица Костикова	106
	Костомаровская набережная	107
	Костомаровский переулок	107
	Костромская улица	0302 0304
	улица Костякова	215
	Костянский переулок	104
	улица Косыгина	0702 0815
	Котельническая набережная	107
	1-й Котельнический переулок	107
	2-й Котельнический переулок	107
	3-й Котельнический переулок	107
	4-й Котельнический переулок	107
	5-й Котельнический переулок	107
	Котельный проезд	508
	Котляковская улица	612
	1-й Котляковский переулок	0612 0618
	2-й Котляковский переулок	612
	Котляковский проезд	612
	улица Коцюбинского	807
	Кочновский проезд	201
	улица Кошкина	612
	проезд Кошкина	606
	улица Коштоянца	0814 0817
	улица Кравченко	0706 0814
	улица Крамского	214
	Крапивенский переулок	108
	переулок Красина	106
	улица Красина	106
	1-й Красковский проезд	409
	2-й Красковский проезд	409
	Красковская улица	409
	Красная площадь	108
	улица Красная Пресня	106
	улица Красная Сосна	317
	Красноармейская улица	201
	Краснобогатырская улица	0403 0415
	Красноворотский проезд	104
	3-я Красногвардейская улица	106
	Красногвардейский бульвар	106
	1-й Красногвардейский проезд	106
	2-й Красногвардейский проезд	106
	Тестовская улица	106
	1-й Красногорский проезд	907
	2-й Красногорский проезд	907
	3-й Красногорский проезд	907
	4-й Красногорский проезд	907
	Краснодарская улица	508
	Краснодарский проезд	508
	Краснодонская улица	0506 0508 0514
	Красноказарменная набережная	507
	Красноказарменная площадь	507
	Красноказарменная улица	507
	Красноказарменный проезд	507
	Краснокурсантская площадь	507
	1-й Краснокурсантский проезд	507
	2-й Краснокурсантский проезд	507
	Краснолиманская улица	711
	Краснополянская улица	209
	Краснопресненская набережная	106
	площадь Краснопресненская Застава	106
	Краснопролетарская улица	108
	Краснопрудная улица	104
	Краснопрудный переулок	104
	Большой Краснопрудный тупик	104
	Малый Краснопрудный тупик	104
	Верхняя Красносельская улица	104
	Малая Красносельская улица	104
	Нижняя Красносельская улица	0102 0104
	1-й Красносельский переулок	104
	2-й Красносельский переулок	104
	3-й Красносельский переулок	104
	4-й Красносельский переулок	104
	5-й Красносельский переулок	104
	6-й Красносельский переулок	104
	Красносельский тупик	104
	Красносолнечная улица	409
	Красностуденческий проезд	215
	Краснохолмская набережная	107
	Нижняя Краснохолмская улица	103
	Красноярская улица	406
	площадь Красные Ворота	0102 0104
	улица Красный Казанец	404
	улица Красного Маяка	620
	улица Красных Зорь	809
	Кременчугская улица	819
	Кремлёвская набережная	109
	Кремлёвский проезд	108
	аллея Кремлёвских Курсантов	508
	улица Кренкеля	306
	2-й Крестовский переулок	105
	площадь Крестьянская Застава	0107 0515
	Крестьянская площадь	107
	Крестьянский тупик	107
	улица Кржижановского	0701 0705
	Кривоарбатский переулок	101
	Кривоколенный переулок	102
	Кривоникольский переулок	101
	Криворожская улица	615
	Криворожский проезд	615
	Кронштадтский бульвар	207
	Пречистенская набережная	109
	площадь Пречистенские Ворота	109
	улица Пречистенка	109
	Кропоткинский переулок	109
	улица Крупской	706
	улица Крупской	1005
	Крутицкая набережная	0107 0609
	Крутицкая улица	107
	улица Крутицкий Вал	515
	1-й Крутицкий переулок	107
	2-й Крутицкий переулок	515
	3-й Крутицкий переулок	0107 0515
	4-й Крутицкий переулок	107
	Крылатская улица	0806 0807 0818 0905
	1-я Крылатская улица	807
	2-я Крылатская улица	806
	улица Крылатские Холмы	806
	1-й Обыденский переулок	109
	Крымская площадь	109
	Крымская набережная	110
	улица Крымский Вал	110
	Крымский проезд	109
	Крымский тупик	110
	Крюковская улица	507
	Крюковская площадь	1012
	Крюковский тупик	507
	Ксеньинский переулок	109
	Кубанская улица	508
	улица Кубинка	809
	Кудринский переулок	106
	улица Кузнецкий Мост	0105 0108
	Кузнецовская улица	403
	улица Кузнецова	1115
	Кузнечный тупик	508
	Кузьминская улица	0504 0506
	Биржевая площадь	108
	улица Ильинка	108
	Богоявленский переулок	108
	Кулаков переулок	301
	улица Кулакова	905
	Куликовская улица	708
	улица Кульнева	805
	площадь Белы Куна	406
	площадь Цезаря Куникова	102
	Кунцевская улица	807
	Большой Купавенский проезд	407
	Малый Купавенский проезд	407
	Курганская улица	406
	улица Герасима Курина	819
	Куркинское шоссе	901
	Курская улица	508
	площадь Курского Вокзала	102
	Курсовой переулок	109
	площадь Академика Курчатова	907
	улица Академика Курчатова	907
	1-я Курьяновская улица	511
	2-я Курьяновская улица	511
	3-я Курьяновская улица	511
	4-я Курьяновская улица	511
	5-я Курьяновская улица	511
	Курьяновский бульвар	511
	1-й Курьяновский проезд	511
	2-й Курьяновский проезд	511
	Кусковская улица	0411 0413
	Кусковский просек	404
	Кусковский тупик	413
	Кустанайская улица	611
	улица Кутузова	809
	Кутузовский переулок	805
	Кутузовский проезд	805
	Кутузовский проспект	0805 0819
	улица Куусинена	0214 0217
	улица Кухмистерова	511
	Кучин переулок	301
	улица Лавочкина	0207 0211 0216
	Лавров переулок	107
	Лаврский переулок	105
	Лаврушинский переулок	110
	Ладожская улица	102
	улица Адмирала Лазарева	711
	Лазаревский переулок	309
	1-я улица Лазенки	811
	2-я улица Лазенки	811
	3-я улица Лазенки	811
	4-я улица Лазенки	811
	5-я улица Лазенки	811
	6-я улица Лазенки	811
	7-я улица Лазенки	811
	улица Лазо	413
	Лазоревый проезд	313
	Ландышевая улица	901
	Ланинский переулок	403
	улица Лапина	507
	улица Лебедева	815
	Лебедянская улица	606
	Лебяжий переулок	109
	площадь Ле Зуана	712
	улица Леваневского	306
	улица Левитана	214
	Левобережная улица	0211 0216
	улица Ирины Левченко	907
	Малый Лёвшинский переулок	109
	Левый тупик	507
	улица Ленивка	109
	улица Ленина	1005
	Ленинградский проспект	0201 0202 0214 0217
	улица Ленина	1112
	Ленинградское шоссе	0205 0207 0211 0212 0214 1009 1010
	Лениногорская улица	409
	улица Ленинская Слобода	609
	Павелецкая площадь	103
	Ленинский проспект	0110 0610 0702 0706 0707 0709 0814 0817
	Ленская улица	303
	1-я улица Леонова	312
	1-й проезд Леонова	312
	Лермонтовский проспект	504
	Лермонтовская площадь	0102 0104
	Лермонтовская улица	415
	улица Лескова	304
	Лесная улица	108
	Лесная улица	1005
	Лесная улица	1112
	1-й Лесной переулок	108
	2-й Лесной переулок	108
	3-й Лесной переулок	108
	4-й Лесной переулок	108
	Лесной переулок	1112
	Лесной тупик	1112
	Леснорядская улица	104
	2-я Леснорядская улица	104
	Леснорядский переулок	104
	аллея Лесные Пруды	1010
	аллея Патриарха Алексия II	616
	улица Лестева	609
	Лётная улица	903
	Летниковская улица	0103 0609
	Летняя аллея	201
	Летняя улица	508
	Лефортовская площадь	102
	Лефортовская набережная	102
	улица Лефортовский Вал	507
	Лефортовский переулок	102
	Лечебная улица	417
	Ливенская улица	711
	Лианозовский проезд	306
	Линейный проезд	215
	Липецкая улица	606
	Липовая аллея	201
	улица Липчанского	512
	Лисичанская улица	0606 0618
	Лиственничная аллея	215
	Листопадная улица	1112
	улица Литвина-Седого	106
	Литовский бульвар	712
	1-й Лихачёвский переулок	207
	2-й Лихачёвский переулок	207
	3-й Лихачёвский переулок	207
	4-й Лихачёвский переулок	207
	Лихоборская набережная	207
	улица Лихоборские Бугры	210
	3-й Нижнелихоборский проезд	215
	Лихов переулок	108
	улица Лобанова	609
	улица Лобачевского	0814 0815 0820
	улица Лобачика	0104 0418
	Лобненская улица	208
	Лодочная улица	908
	Локомотивный проезд	215
	Ломоносовский проспект	0702 0815
	Лонгиновская улица	507
	улица Луиджи Лонго	214
	Лопухинский переулок	109
